Item 1;Item 2;Item 3;Item 4;Item 5;Item 6;Item 7;Item 8;Item 9;Item 10;Item 11;Item 12;Item 13;Item 14;Item 15;Item 16;Item 17;Item 18;Item 19;Item 20
D;B;A;D;C;C;C;A;D;A;A;D;A;A;D;A;D;C;C;D
D;B;A;D;B;C;B;C;A;B;A;D;A;A;B;A;B;C;C;C
D;A;A;C;B;C;C;C;A;C;A;D;C;A;A;B;D;C;A;D
C;A;A;C;B;C;B;B;B;A;A;D;A;B;D;A;C;A;C;C
D;B;A;C;B;C;C;C;A;A;A;D;A;A;D;B;A;C;C;D
D;B;A;D;B;B;C;C;D;A;A;D;A;A;C;A;A;C;C;D
D;B;A;D;D;B;C;C;D;C;A;D;A;A;D;A;A;C;C;D
D;B;A;D;A;C;C;C;D;C;A;E;D;A;D;B;A;C;C;D
D;B;A;C;D;C;C;B;D;B;A;D;D;A;C;A;C;C;C;D
D;B;A;D;D;C;C;C;A;B;C;A;D;C;D;D;D;D;C;D
D;B;A;C;A;B;C;A;A;C;A;D;D;A;B;B;B;B;A;C
D;B;A;D;D;B;B;C;D;A;A;D;A;A;C;B;C;C;C;D
D;C;C;C;A;B;C;B;D;A;A;D;A;A;A;C;D;C;C;D
D;C;A;C;B;B;B;C;D;A;A;E;D;A;B;B;B;C;C;D
D;B;A;C;B;C;C;C;A;B;C;D;D;A;B;B;B;B;E;D
D;B;A;C;B;C;A;C;A;B;C;D;A;A;B;B;B;B;D;D
D;B;A;C;B;B;C;C;D;B;A;D;A;A;A;A;D;C;A;B
D;B;B;D;B;A;C;C;D;A;C;E;D;A;A;B;A;C;C;D
D;A;A;D;C;B;C;C;D;A;A;D;A;A;B;A;C;C;C;D
D;A;C;C;D;B;B;C;A;A;A;D;C;A;A;B;A;C;C;D
D;B;A;D;D;B;B;C;D;A;A;E;A;A;C;A;A;C;C;D
D;B;A;C;C;B;B;B;A;A;A;D;A;A;C;B;B;C;D;D
C;A;B;C;C;B;B;A;D;A;C;E;D;A;C;B;B;C;C;C
D;B;A;C;B;B;B;C;D;A;A;E;A;D;C;A;A;C;C;D
D;C;A;D;B;B;C;C;D;A;A;D;B;A;A;A;A;C;C;D
D;B;A;C;B;C;C;C;D;A;A;E;B;C;D;B;D;C;C;D
D;B;A;C;B;C;C;C;D;A;A;D;A;A;C;D;A;C;C;D
B;B;A;D;A;B;C;C;D;C;A;D;A;D;C;A;A;C;C;D
D;B;A;D;B;C;C;C;D;A;A;D;C;C;C;A;A;C;C;D
D;B;A;C;A;C;B;B;D;A;A;D;A;A;C;A;C;C;C;D
D;A;A;D;C;C;C;C;D;A;A;D;A;A;C;A;C;C;C;D
C;B;A;D;B;B;C;C;A;A;A;E;A;C;B;A;A;C;C;D
D;B;A;D;A;C;B;A;D;A;C;D;A;A;C;A;A;C;C;D
D;B;A;D;B;B;C;C;D;B;A;D;A;A;C;A;C;C;C;D
D;A;A;C;B;C;B;C;D;A;A;D;A;A;C;A;C;C;C;D
D;B;A;C;B;C;B;C;D;A;A;D;A;A;C;A;B;C;C;D
D;B;A;D;D;B;C;C;D;A;A;D;A;A;C;A;D;C;C;D
D;B;A;C;D;B;C;C;D;B;A;D;A;A;C;B;C;C;C;D
D;B;C;D;D;B;C;C;C;C;A;D;D;A;C;A;B;B;B;B
D;B;A;D;D;B;B;C;A;C;A;C;A;A;C;A;A;C;C;D
D;B;A;D;C;B;A;C;D;A;C;E;B;B;B;A;D;C;C;D
D;B;A;C;B;C;B;C;D;A;A;D;A;A;C;A;B;C;C;D
D;B;A;C;B;A;B;C;A;A;C;A;A;A;D;C;D;C;C;D
C;B;A;C;B;B;A;C;A;C;A;E;A;A;C;B;B;C;C;B
D;B;A;C;B;C;C;C;A;A;A;D;A;A;C;A;B;C;C;C
D;B;A;C;B;B;C;C;A;A;A;D;A;A;C;C;C;C;C;D
D;B;A;D;D;C;B;C;D;A;A;D;A;A;C;A;D;C;C;D
C;A;B;A;B;B;B;C;D;C;B;C;A;C;B;A;A;C;C;A
D;B;A;D;B;B;C;B;A;B;A;A;A;A;B;A;B;C;C;D
D;B;A;D;C;B;C;B;D;B;A;C;C;A;D;A;A;C;C;D
D;B;A;C;B;C;C;C;D;A;A;D;A;A;C;A;A;C;C;D
C;B;A;C;B;B;A;C;A;C;A;D;A;D;C;A;C;C;C;C
D;B;A;C;B;B;C;B;D;A;A;D;A;A;C;A;C;C;C;D
A;B;A;C;B;B;C;C;A;B;A;D;A;A;C;A;B;C;C;D
D;B;A;C;A;B;C;B;A;C;A;D;D;A;B;A;D;B;C;D
D;B;A;D;B;B;B;C;D;A;A;D;A;A;C;A;C;C;C;D
D;B;A;C;D;B;C;C;A;A;A;B;A;A;C;D;D;C;C;D
D;B;C;C;C;B;C;C;D;B;A;E;A;D;B;A;A;C;A;C
C;B;A;D;B;C;C;B;D;A;A;D;A;A;C;A;A;C;C;D
C;B;A;D;A;A;B;C;A;B;A;D;A;A;D;A;B;C;D;D
D;B;C;B;A;A;A;B;B;C;B;D;A;A;C;A;B;B;D;D
D;B;A;D;B;B;B;B;A;A;A;E;A;A;C;B;D;C;C;D
B;B;A;C;D;A;B;B;A;C;B;B;C;B;C;B;C;A;D;B
D;B;A;D;B;C;B;C;A;A;A;D;A;A;C;A;C;C;B;C
D;B;A;C;D;A;B;C;D;B;A;D;A;A;B;A;A;D;B;D
B;A;A;C;B;B;C;C;A;A;A;D;A;A;C;D;A;C;C;D
D;B;A;C;C;B;B;B;B;A;B;A;C;C;A;A;A;C;C;B
D;B;A;C;C;B;C;C;D;B;B;D;C;A;B;B;D;B;C;D
B;A;A;C;B;A;C;C;A;A;A;D;B;A;B;B;A;B;B;C
D;A;A;C;C;C;C;C;A;A;A;D;A;A;C;B;C;C;C;C
D;B;A;C;A;A;C;C;A;B;A;D;C;A;B;A;A;B;C;D
B;A;A;D;B;C;A;C;A;A;A;E;A;A;C;A;B;C;C;D
D;B;A;C;B;C;C;C;A;A;A;D;A;A;C;A;A;C;C;D
B;B;C;C;D;B;B;C;D;C;B;A;D;A;A;B;D;C;D;C
D;B;A;C;B;C;C;C;A;A;A;D;A;A;C;A;B;C;C;D
D;B;A;D;B;B;C;C;D;C;A;D;A;A;C;A;C;C;D;D
D;C;A;C;B;B;C;C;D;A;A;D;A;A;D;D;C;C;C;D
D;B;A;D;B;B;C;C;D;C;A;D;A;A;C;A;A;C;C;D
B;B;A;D;B;B;B;C;A;C;A;D;A;A;C;A;A;C;C;D
D;B;A;C;B;C;B;C;A;A;A;E;A;A;C;A;B;C;C;C
C;B;A;C;B;B;C;C;D;A;A;D;A;A;C;C;A;C;C;D
D;C;A;D;B;B;C;B;D;A;A;D;A;A;C;C;D;C;C;D
D;B;A;C;C;C;C;C;A;A;A;D;D;A;D;A;D;D;C;D
D;B;A;C;D;B;C;C;A;B;A;E;C;C;A;A;C;C;C;B
D;B;A;D;D;B;C;A;D;A;A;D;A;A;C;A;B;C;C;D
D;B;A;D;D;B;C;A;A;C;A;D;A;A;C;A;A;C;C;D
A;A;A;C;B;A;C;A;A;A;C;D;D;D;C;B;B;C;C;D
B;B;A;C;B;B;C;C;A;C;A;D;A;A;C;A;A;C;C;D
B;B;A;D;C;B;C;C;D;A;A;D;A;A;C;A;A;C;C;D
C;C;A;C;C;B;C;A;C;A;A;D;B;A;A;B;C;D;D;D
D;B;A;C;B;B;C;C;A;A;A;D;A;A;D;A;C;C;C;C
D;B;A;D;B;C;A;C;D;A;A;D;B;B;C;A;C;C;C;D
B;A;A;C;B;C;C;C;A;A;A;D;A;A;C;A;A;C;C;D
B;B;A;C;D;B;B;C;A;A;C;E;D;D;C;B;D;B;B;D
D;B;A;C;B;B;C;C;A;B;C;D;A;A;D;A;C;C;C;C
B;B;A;C;D;C;C;C;A;A;A;D;D;C;C;A;B;C;C;B
D;B;A;D;A;B;B;C;A;B;A;D;A;A;C;A;B;C;C;D
D;B;A;C;B;A;C;A;A;A;A;D;D;A;C;A;D;C;C;D
D;B;A;D;B;C;C;C;D;C;A;E;A;C;C;A;B;C;C;D
D;B;A;D;D;B;C;C;B;A;A;D;A;A;C;A;C;C;C;D
D;B;A;C;C;B;A;C;D;C;A;D;A;A;D;A;C;C;C;D
D;B;A;C;D;B;C;C;A;C;C;D;A;B;C;A;A;C;C;D
D;B;A;D;B;C;B;C;A;A;A;D;A;A;C;A;C;C;C;D
B;B;A;C;A;C;C;C;A;A;A;D;A;A;C;A;A;C;C;D
A;B;A;D;D;C;C;C;A;C;A;D;D;B;B;B;D;C;C;D
D;C;C;C;D;C;C;A;A;A;A;D;D;B;C;A;D;B;B;B
D;A;A;D;D;B;C;B;A;A;A;E;A;C;C;A;C;C;C;D
B;B;A;D;B;C;C;C;D;A;B;D;A;A;D;D;A;C;C;D
B;B;A;D;B;B;C;C;D;A;A;D;A;A;B;C;C;C;C;D
D;B;A;C;A;A;C;B;A;C;A;D;D;A;B;B;A;C;C;D
B;B;A;D;B;C;C;C;D;B;A;D;D;A;C;A;A;C;C;D
D;B;A;C;D;B;C;A;D;A;C;E;C;A;C;A;D;C;C;D
D;B;A;D;B;C;C;C;A;A;A;D;A;A;C;A;B;C;C;D
D;B;A;C;B;B;C;C;D;A;A;E;A;A;C;B;C;C;C;D
D;B;A;C;B;C;B;C;A;A;A;E;A;A;C;A;A;C;C;D
D;B;A;D;B;B;C;B;A;A;A;D;A;A;D;A;A;C;C;C
D;B;A;D;B;B;C;C;A;A;A;C;D;A;C;A;B;A;B;B
C;B;A;C;A;C;C;C;A;B;A;E;D;A;A;B;A;C;C;D
D;B;A;C;B;B;C;C;A;A;A;D;A;A;C;A;C;C;C;D
B;B;A;D;B;B;C;C;D;A;A;D;A;A;D;A;A;D;C;D
D;B;A;C;D;C;C;C;D;A;A;D;A;A;C;A;A;C;C;D
D;C;C;D;B;B;C;C;D;A;A;D;A;A;C;A;A;C;C;D
B;B;A;D;B;C;C;C;D;A;A;E;A;A;C;A;C;A;B;D
D;B;A;C;C;C;A;C;A;A;A;D;A;A;D;A;A;C;C;C
D;B;A;D;D;C;B;C;D;A;C;E;D;A;C;A;B;C;C;D
B;B;A;C;B;B;B;B;A;C;A;D;C;A;A;B;A;B;C;C
B;B;A;C;D;B;B;C;A;A;A;D;A;A;D;A;C;C;C;D
D;B;A;D;B;B;C;C;D;A;C;E;A;A;D;A;C;C;C;D
B;B;A;C;A;B;C;C;A;C;C;D;A;A;B;A;D;C;C;B
D;B;A;C;C;A;C;A;A;C;B;D;D;A;C;B;C;C;E;C
D;B;A;D;B;B;C;C;A;A;A;D;A;A;C;A;A;B;C;D
D;B;A;C;B;C;C;C;A;C;A;E;A;A;C;A;A;C;C;D
D;B;A;C;D;B;A;C;B;A;A;D;A;A;C;A;C;C;C;D
D;B;A;C;C;C;A;C;B;B;A;A;A;A;D;A;B;C;A;D
D;B;A;C;B;B;C;C;A;A;A;D;A;A;C;D;A;C;C;D
B;B;A;C;C;C;C;A;A;A;C;D;C;A;B;A;A;B;C;C
D;B;A;C;B;C;C;C;A;A;B;D;A;A;B;A;B;C;A;D
C;B;A;C;B;B;C;C;A;B;A;D;A;A;D;A;D;C;C;D
B;B;A;C;B;B;C;B;D;A;A;D;A;A;C;A;A;C;C;D
D;B;A;D;C;A;A;C;A;A;A;D;C;A;C;A;B;C;C;D
D;B;A;C;C;B;C;C;A;A;A;D;A;A;B;B;A;C;C;D
D;B;A;C;C;A;C;C;D;C;C;D;C;A;D;A;A;B;C;D
D;B;A;C;D;C;C;C;A;A;A;D;A;A;D;A;A;C;C;D
D;B;A;C;D;C;C;C;A;A;A;D;C;A;C;A;B;C;C;B
D;B;A;D;A;C;C;C;D;A;A;D;A;A;D;A;A;C;C;D
D;B;A;D;C;C;C;C;D;A;A;D;A;A;A;A;C;C;C;D
C;B;A;D;B;B;C;C;D;B;A;D;C;A;C;A;D;C;C;D
A;A;B;A;C;B;C;B;A;A;B;E;A;D;A;A;A;A;A;D
D;B;A;C;B;B;C;C;A;A;A;D;A;A;B;A;C;B;C;D
A;C;A;D;C;A;C;B;A;B;A;D;A;A;C;A;A;C;C;D
D;B;A;C;B;B;B;C;A;A;A;D;C;B;B;A;B;C;C;D
D;B;A;D;D;B;C;B;D;B;A;D;C;A;C;A;D;A;C;D
D;B;A;C;D;B;C;C;D;A;A;D;A;A;C;A;A;C;C;D
D;B;A;D;D;B;C;C;D;A;A;D;A;A;C;A;C;C;C;D
D;B;A;C;B;B;C;C;A;A;A;D;A;A;C;D;B;C;C;B
D;B;A;C;D;B;C;C;A;A;A;D;A;C;C;A;B;C;C;D
D;A;B;C;D;B;C;B;A;C;A;E;A;A;C;B;C;A;C;D
D;B;A;C;B;B;C;C;A;A;A;E;A;C;D;D;C;C;C;C
D;B;A;C;B;C;B;C;A;A;A;D;A;A;C;A;D;C;C;C
D;B;A;D;B;B;B;A;D;A;A;A;C;A;C;A;D;C;E;C
D;B;A;C;C;B;C;C;D;A;A;D;B;B;C;D;A;C;C;D
D;C;A;C;D;B;C;C;B;A;A;E;D;A;C;A;C;C;A;C
D;B;A;C;B;B;B;A;A;A;B;E;A;A;D;A;A;C;C;D
D;B;A;C;C;C;C;C;A;A;A;D;A;A;C;A;D;C;C;C
D;B;A;C;B;C;C;C;A;A;A;D;A;A;C;A;D;C;C;C
D;A;A;C;B;C;C;C;A;A;A;D;A;A;C;A;A;C;C;D
D;A;A;C;A;B;A;C;B;A;B;E;D;D;B;B;C;D;C;C
D;B;A;D;B;A;A;C;D;A;A;A;A;A;D;A;C;C;C;D
D;B;A;C;B;B;B;A;D;A;A;D;A;A;C;A;D;C;C;D
D;B;C;D;A;B;C;A;B;A;A;E;B;A;C;D;B;C;C;C
C;B;A;C;A;C;B;C;A;A;A;D;A;A;D;A;C;C;C;D
D;B;A;C;D;C;B;C;A;A;A;D;A;A;C;A;B;C;C;D
D;B;A;C;D;C;B;C;A;A;A;D;A;A;C;A;B;C;C;D
D;B;A;C;D;C;B;C;A;A;A;E;A;A;C;A;B;C;C;D
D;B;A;C;D;C;B;C;A;A;A;D;A;A;C;A;B;C;C;D
D;C;A;C;C;B;B;A;A;A;C;A;D;A;C;B;B;C;C;C
D;B;A;C;C;C;B;C;A;A;A;D;A;A;C;A;B;C;C;D
D;B;A;C;B;B;B;C;A;A;A;D;A;A;C;A;B;C;C;D
D;A;A;C;D;C;B;C;A;A;A;D;A;A;C;A;B;C;C;D
D;B;A;C;D;A;C;C;A;A;A;E;B;D;C;A;A;C;C;D
C;B;A;D;A;C;A;C;A;A;A;D;D;A;C;B;D;C;C;D
D;C;A;C;B;B;C;C;D;C;A;C;D;A;C;A;A;C;C;D
D;B;A;C;C;B;B;C;D;A;C;A;A;A;C;A;A;C;C;D
D;B;A;D;D;B;A;C;A;B;A;A;A;A;C;A;C;C;C;D
C;B;A;C;D;B;A;C;A;A;A;A;A;A;C;A;D;C;C;C
D;B;A;D;B;C;C;C;A;A;A;D;A;A;B;B;B;C;C;C
D;B;A;C;C;B;C;C;D;A;A;E;A;A;D;A;C;C;C;D
D;B;A;C;B;C;C;A;A;A;A;D;A;A;B;A;A;C;C;D
D;B;A;D;C;C;C;C;D;A;C;D;A;A;C;A;C;C;C;D
D;B;A;D;B;C;B;C;D;A;A;D;A;A;C;A;C;C;C;D
D;B;A;C;C;B;C;C;D;A;A;E;A;A;C;A;C;C;C;D
D;B;A;C;B;B;B;C;D;C;A;E;A;A;D;B;D;C;B;D
D;B;A;C;D;B;C;C;D;A;A;D;A;A;D;A;A;C;C;D
D;B;A;D;B;C;C;C;A;A;A;D;A;A;C;A;A;C;C;D
D;A;B;D;B;B;C;C;D;B;A;D;D;A;B;B;B;C;E;D
D;B;A;C;B;C;B;C;A;A;A;D;A;A;C;A;B;C;C;D
C;B;A;D;A;B;B;C;D;C;A;E;D;D;D;B;C;C;C;C
D;A;A;C;A;C;B;A;D;A;A;C;A;A;B;B;A;C;C;D
C;B;A;C;B;C;B;C;A;A;A;C;A;A;D;A;A;C;C;D
D;B;A;D;B;C;C;C;D;A;A;D;A;A;C;A;C;C;C;D
D;A;A;D;B;B;A;C;A;A;A;C;D;C;D;A;C;D;C;D
D;B;A;C;A;C;B;C;A;A;A;D;A;A;C;A;A;C;C;C
D;A;A;C;B;C;C;C;A;A;A;D;A;A;C;A;B;C;C;D
D;B;A;C;D;B;B;B;A;A;A;D;A;A;C;D;D;C;C;D
D;A;B;C;D;B;C;C;A;A;B;E;C;A;C;A;A;C;C;C
D;B;B;C;D;A;B;C;A;A;A;D;D;A;B;A;C;B;C;D
B;B;A;D;C;B;B;C;A;A;A;E;A;C;A;B;B;C;D;B
D;B;A;C;B;C;C;C;A;A;A;D;A;A;C;A;B;C;C;D
A;B;A;C;D;B;B;C;A;B;A;D;B;A;D;A;D;C;C;D
A;B;C;D;D;C;B;C;D;A;A;E;C;A;D;B;C;C;C;D
D;B;A;C;B;C;C;C;D;A;A;D;A;A;C;A;A;C;C;C
D;C;C;A;C;B;B;C;D;B;C;C;D;A;C;D;A;B;B;C
A;A;A;C;A;B;A;C;D;A;A;D;A;A;B;C;D;C;C;D
D;B;A;C;B;B;A;C;A;A;A;D;D;A;C;A;B;C;C;D
C;B;A;C;C;B;A;B;D;A;A;D;A;A;C;A;A;C;C;C
D;A;A;C;B;C;C;C;A;A;A;D;A;C;A;A;A;C;C;C
B;B;C;D;A;B;C;C;A;B;A;E;A;A;A;B;D;C;D;D
D;B;A;D;B;B;B;C;D;A;A;D;A;A;A;A;B;C;C;D
D;B;C;D;B;B;C;B;D;B;A;C;D;C;B;A;D;C;C;C
D;A;B;C;C;C;B;C;A;A;A;D;A;B;A;C;B;D;D;C
A;A;B;D;D;C;B;C;D;C;A;D;D;B;B;B;C;C;C;A
D;C;A;C;A;C;C;C;A;A;A;D;A;A;D;A;A;C;C;D
D;C;A;C;D;C;C;C;A;A;A;D;A;A;D;A;A;C;C;D
D;B;A;C;C;B;C;A;D;B;B;D;B;A;C;A;C;B;D;B
B;A;B;D;C;B;B;B;A;C;A;C;C;D;A;A;B;D;B;B
A;B;A;C;C;B;B;A;A;A;C;A;A;A;B;B;B;B;A;B
D;A;C;B;C;B;C;C;A;A;C;E;D;A;B;C;D;C;A;C
C;A;A;A;C;B;B;A;C;A;A;D;A;A;B;B;C;C;C;D
A;B;B;D;D;B;B;A;B;A;B;E;C;A;B;D;C;A;C;D
D;B;A;B;D;B;A;A;C;A;B;E;B;A;C;C;B;B;B;D
D;B;A;D;B;B;B;C;D;A;A;D;A;A;C;A;B;C;C;D
D;B;A;D;D;B;A;C;A;C;A;E;A;A;B;C;B;D;C;D
D;B;A;D;B;B;C;C;D;A;A;D;A;A;C;A;C;C;C;C
A;A;C;D;C;C;C;C;A;B;C;E;C;C;D;B;C;D;E;C
D;C;B;B;A;B;C;B;D;C;A;D;A;A;A;A;B;C;C;C
A;B;A;C;B;B;B;C;A;A;A;D;A;A;D;B;C;C;C;C
D;B;B;A;D;C;C;A;C;C;A;C;D;A;C;C;A;C;C;D
A;B;A;D;A;B;B;B;D;B;A;E;A;A;C;B;A;A;B;D
D;A;B;D;D;B;C;C;A;B;C;D;D;C;B;B;B;A;C;C
D;A;B;C;D;C;B;B;C;A;A;D;A;C;A;A;B;A;B;D
C;B;A;C;D;B;B;B;B;A;B;A;C;A;C;B;C;A;B;B
C;B;A;C;D;B;C;C;A;A;A;E;D;C;B;B;A;C;C;D
D;B;A;D;B;B;C;C;D;A;A;A;C;A;D;A;A;C;C;D
D;A;A;C;D;B;A;A;D;A;A;E;A;C;D;B;C;C;A;D
D;B;A;C;A;B;B;C;D;C;A;E;A;C;B;A;A;C;C;D
D;C;A;C;D;B;C;C;A;A;A;D;A;A;C;B;A;C;C;D
D;B;A;D;C;B;C;C;D;A;A;A;A;A;A;A;C;C;C;D
D;B;A;D;B;B;A;C;A;A;A;E;A;A;A;A;A;C;A;D
D;B;A;C;C;B;B;B;C;A;C;D;B;B;A;A;C;B;A;B
D;B;A;C;B;B;C;A;D;C;A;D;A;A;C;A;A;C;C;D
D;B;A;D;A;B;C;A;A;C;A;D;D;D;C;A;A;B;E;C
D;B;A;C;D;B;C;B;D;C;A;A;A;D;B;A;B;C;B;C
B;B;A;D;B;A;B;C;A;A;B;B;D;B;C;B;B;C;E;C
C;B;A;D;D;B;C;C;D;A;A;D;A;A;C;A;B;C;C;D
D;B;A;C;D;B;C;C;A;A;A;A;A;A;C;A;C;C;C;D
D;B;A;D;D;B;C;B;D;C;C;A;A;A;C;A;C;C;C;D
D;B;A;C;A;B;C;C;A;C;A;A;A;A;C;B;B;C;C;B
A;C;A;C;D;B;A;C;D;C;C;E;D;A;B;A;B;C;C;D
D;B;A;D;B;A;B;A;A;C;A;D;C;A;A;B;C;B;C;C
D;B;A;D;D;C;B;C;D;B;A;B;A;A;C;A;C;C;C;D
D;B;A;D;C;B;B;C;D;A;C;A;A;A;C;B;C;C;D;D
C;B;A;B;D;C;C;C;B;B;C;C;C;C;A;B;C;C;C;D
D;B;A;C;B;C;A;C;A;A;A;D;A;A;D;C;B;C;C;D
B;C;A;D;B;B;C;C;D;B;A;A;A;A;A;B;A;C;C;D
D;B;B;C;B;B;A;C;A;A;A;D;C;A;B;A;A;D;C;D
D;B;A;A;B;B;C;A;D;A;C;A;D;A;B;B;C;C;C;D
C;C;C;D;B;B;C;A;A;A;A;E;A;A;B;A;D;C;C;D
C;A;A;C;A;B;B;C;D;A;A;E;A;A;C;B;A;C;A;D
D;B;A;C;D;C;C;C;D;A;C;E;A;A;C;B;B;C;C;D
C;A;B;D;D;B;C;C;D;C;A;A;A;A;C;A;C;D;C;D
A;A;A;D;D;B;C;C;D;A;A;E;A;A;B;C;B;C;D;C
C;B;A;D;B;B;C;C;D;A;C;E;D;A;B;A;C;C;C;D
C;A;B;C;D;B;C;B;A;A;A;D;A;A;B;C;B;B;C;D
A;A;C;C;B;B;C;B;B;C;A;E;B;A;C;B;C;C;E;D
C;B;C;B;D;B;C;B;A;A;A;D;A;A;B;B;B;B;C;D
C;C;A;A;D;B;C;B;A;A;A;D;A;A;B;C;B;B;C;D
D;B;A;C;D;B;C;C;A;A;A;E;A;A;D;B;A;C;C;D
C;A;A;C;C;B;C;C;D;A;A;D;C;A;B;C;D;C;C;D
C;A;A;C;C;B;C;C;D;A;A;E;A;D;D;C;C;D;C;C
C;A;A;C;C;B;B;A;B;B;A;E;D;D;B;B;C;A;C;D
D;B;A;C;D;B;B;A;A;A;A;A;A;A;B;B;B;C;C;D
D;B;A;D;B;C;C;A;D;A;C;D;A;A;D;A;A;C;E;D
D;B;A;D;B;C;B;C;D;A;A;D;A;A;C;A;B;C;C;D
C;A;A;D;D;B;C;A;B;A;B;E;A;D;D;A;C;C;E;D
D;B;A;C;B;B;C;C;A;A;A;A;A;A;C;A;A;C;C;D
D;B;A;D;B;B;C;C;D;A;A;D;A;A;C;A;A;C;C;D
D;C;B;B;A;A;A;A;B;A;A;E;C;A;B;C;C;B;C;C
C;B;A;D;C;B;C;C;A;C;C;E;B;B;D;C;D;A;B;B
C;B;A;D;A;B;C;B;A;B;C;E;A;A;C;B;C;C;C;C
D;C;A;B;B;C;C;C;A;A;A;E;A;A;C;A;B;C;C;D
D;B;A;D;D;B;B;C;A;A;A;D;D;B;B;C;B;C;B;D
C;A;B;D;D;B;B;A;D;B;A;D;A;D;A;C;B;A;A;D
D;A;A;D;D;B;C;C;A;B;A;D;D;A;A;A;C;C;C;D
C;B;A;C;D;A;B;C;A;A;A;E;C;A;A;B;B;C;B;D
C;C;A;C;B;B;B;C;D;A;A;E;D;A;B;B;A;A;C;B
C;A;C;C;D;C;C;C;D;B;A;E;A;D;B;C;B;C;C;D
D;B;A;C;D;B;C;B;A;A;A;A;C;C;B;B;B;C;A;C
D;B;A;C;B;C;C;C;A;A;B;D;A;A;D;A;B;C;C;D
C;A;A;C;D;B;C;C;A;C;A;E;A;A;D;B;C;C;C;D
D;B;A;C;C;B;C;C;D;C;B;E;C;C;D;A;A;C;C;D
C;B;C;C;B;A;B;B;B;C;B;B;B;D;B;C;B;C;B;D
D;B;B;C;D;B;B;C;A;A;A;E;B;A;D;A;B;C;B;C
D;B;A;C;D;B;B;B;A;A;A;D;D;A;C;A;A;C;C;C
D;B;C;D;A;B;A;A;D;C;C;D;D;A;B;B;A;A;C;B
D;A;A;C;C;B;C;B;A;B;A;A;D;B;D;D;C;C;C;D
D;C;A;C;B;B;C;C;D;C;A;C;A;A;A;B;A;C;C;D
